ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg I-Flux/Error Z-Flux/Error Y-Flux/Error H-Flux/Error Image_used
GSWI-2063146344 z6_GSD_8350 - 53.026271771000005 -27.77622902 0.194$\pm$0.052 0.7$\pm$0.072 0.586$\pm$0.061 0.85$\pm$0.124 South
GSDI-2531949442 z6_GSD_25631 z6_gdsd_20623 53.221633241999996 -27.82895278 0.05$\pm$0.054 0.459$\pm$0.074 0.377$\pm$0.045 0.297$\pm$0.074 South
GSDI-2540949159 - - 53.225409408000004 -27.82108472 0.074$\pm$0.075 0.991$\pm$0.109 1.271$\pm$0.066 1.652$\pm$0.093 South
GSDI-2484848588 z6_GSD_21576 z6_gdsd_23753 53.202032843999994 -27.81636156 0.12$\pm$0.054 0.576$\pm$0.074 0.817$\pm$0.04 0.915$\pm$0.07 South
GSDI-2522348046 z6_GSD_16763 z6_gdsd_27376 53.217580229 -27.80131707 0.084$\pm$0.054 0.705$\pm$0.07 0.848$\pm$0.049 0.945$\pm$0.081 South
GSDI-2523847534 z6_GSD_15744 z6_gdsd_28276 53.218268416 -27.79816767 0.071$\pm$0.059 0.433$\pm$0.075 0.377$\pm$0.044 0.467$\pm$0.084 South
GSDI-2487648069 z6_GSD_16979 z6_gdsd_27272 53.203200138999996 -27.80192718 0.052$\pm$0.059 0.433$\pm$0.075 0.377$\pm$0.044 0.37$\pm$0.064 South
GSDI-2499846561 z6_GSD_10367 - 53.208253443000004 -27.78226974 0.285$\pm$0.059 1.218$\pm$0.076 0.927$\pm$0.037 0.881$\pm$0.069 South
GSDI-2489446514 - z6_gdsd_33371 53.203927637 -27.78095032 0.179$\pm$0.058 0.76$\pm$0.074 0.62$\pm$0.04 0.596$\pm$0.068 South
GSDI-2485646173 z6_GSD_6874 z6_gdsd_36115 53.202333476999996 -27.77149124 0.078$\pm$0.06 0.325$\pm$0.076 0.292$\pm$0.047 0.432$\pm$0.084 South
GSDI-2373552229 - z7_gdsw_8783 53.155627646999996 -27.8730499 0.048$\pm$0.054 0.307$\pm$0.07 0.524$\pm$0.103 0.54$\pm$0.087 South
GSDI-2383251063 z6_GSD_32191 z6_gdsd_14407 53.159692111999995 -27.85176436 -0.04$\pm$0.054 0.228$\pm$0.073 0.205$\pm$0.041 0.289$\pm$0.067 South
GSDI-2376250224 - - 53.156764093999996 -27.83953925 0.296$\pm$0.056 0.857$\pm$0.069 0.885$\pm$0.043 1.121$\pm$0.067 South
