id wisp_id RA DEC FLUX_TOTAL_U FLUXERR_TOTAL_U FLUX_TOTAL_G FLUXERR_TOTAL_G FLUX_TOTAL_F475X FLUXERR_TOTAL_F475X FLUX_TOTAL_R FLUXERR_TOTAL_R FLUX_TOTAL_F600LP FLUXERR_TOTAL_F600LP FLUX_TOTAL_I FLUXERR_TOTAL_I FLUX_TOTAL_F814W FLUXERR_TOTAL_F814W FLUX_TOTAL_F110W FLUXERR_TOTAL_F110W FLUX_TOTAL_F140W FLUXERR_TOTAL_F140W FLUX_TOTAL_F160W FLUXERR_TOTAL_F160W FLUX_TOTAL_IRAC FLUXERR_TOTAL_IRAC comment
309_2_18 47 324.773132 -38.419743 0.6760615688830521 0.033873558960328724 0.9755875488822986 0.053823105393328866 -99.0 -99.0 1.5816349344416196 0.08565628901164346 -99.0 -99.0 -99.0 -99.0 2.991437957549792 0.14967061338450427 4.238381057743507 0.093696267125563 -99.0 -99.0 5.5207743928075566 0.2136157540980292 8.904842631527497 0.20504841649460026 -
309_2_20 118 324.76767 -38.416943 0.09561945167194692 0.026658416560352446 0.2262696207392319 0.04218056931040885 -99.0 -99.0 0.6182814957649869 0.0692461295437514 -99.0 -99.0 -99.0 -99.0 1.1584572183698636 0.10888479909894 1.1835864919618606 0.20596886048341093 -99.0 -99.0 1.3121998990192003 0.4661285509760691 0.9471663248095981 0.2679330259598767 -
236_1_2 49 231.191513 0.428666 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 7.008095316467937 0.15492527969223646 -99.0 -99.0 -99.0 -99.0 Double-galaxy
236_1_3 239 231.194687 0.427741 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.6735967762229416 0.06898504195717241 -99.0 -99.0 -99.0 -99.0 -
236_1_4 61 231.193039 0.418988 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 5.267444883319054 0.12129811850644233 -99.0 -99.0 -99.0 -99.0 -
236_1_5 18 231.196732 0.4219 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 26.254273189936967 0.26599642199608897 -99.0 -99.0 -99.0 -99.0 -
236_1_6 79 231.204025 0.432063 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.369767985844033 0.11175263065771657 -99.0 -99.0 -99.0 -99.0 -
236_1_7 192 231.20277400000003 0.421722 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.9392906516183948 0.057999744782949225 -99.0 -99.0 -99.0 -99.0 -
236_1_8 34 231.2034 0.417798 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 11.230523475410813 0.15516035140233786 -99.0 -99.0 -99.0 -99.0 -
236_1_9 106 231.213028 0.4366930000000001 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.1737019751571167 0.0941259054830914 -99.0 -99.0 -99.0 -99.0 Double-galaxy
236_1_10 17 231.215302 0.435545 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 30.310981535840497 0.25125988868867744 -99.0 -99.0 -99.0 -99.0 Extended_relative_to_slit
236_1_11 243 231.212418 0.422663 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.6086953723349002 0.06741255055659696 -99.0 -99.0 -99.0 -99.0 -
236_1_12 20 231.213715 0.421263 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 23.120647901755948 0.2768403625163636 -99.0 -99.0 -99.0 -99.0 -
236_1_13 81 231.208893 0.40411 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0732649292042966 0.08492825393396443 -99.0 -99.0 -99.0 -99.0 -
