ID_Bouwens ID(Fink) id(Har) X_Deg Y_Deg Z-Flux/Error Y-Flux/Error J-Flux/Error H-Flux/Error Image_used
GSDZ-2160647576 z7_GSD_16137 z7_gdsd_27952 53.066935711999996 -27.79936072 0.119$\pm$0.071 0.383$\pm$0.05 0.402$\pm$0.051 0.47$\pm$0.071 South
GSDZ-2125047568 z7_GSD_16078 z7_gdsd_28035 53.052123883 -27.79912419 0.134$\pm$0.06 0.295$\pm$0.049 0.406$\pm$0.05 0.341$\pm$0.065 South
GSDZ-2199347106 z7_GSD_11730 z7_gdsd_31744 53.083065073 -27.78626685 0.011$\pm$0.072 0.43$\pm$0.047 0.413$\pm$0.051 0.579$\pm$0.069 South
GSDZ-2067447158 - z7_gdsd_31277 53.028117971 -27.78770633 -0.061$\pm$0.092 0.197$\pm$0.05 0.347$\pm$0.062 0.354$\pm$0.083 South
- z6_GND_10245 z7_gdnd_31396 189.27741384 62.276405163 0.237$\pm$0.061 0.767$\pm$0.069 0.843$\pm$0.053 0.758$\pm$0.067 North
GNDZ-6474113374 z6_GND_27273 - 189.19757614 62.22702373 0.189$\pm$0.066 0.593$\pm$0.069 0.601$\pm$0.057 0.666$\pm$0.072 North
- z6_GND_20074 z7_gdnd_24397 189.28101992 62.247315711000006 0.244$\pm$0.063 0.564$\pm$0.055 0.708$\pm$0.054 0.865$\pm$0.074 North
GNDZ-6187914126 z6_GND_23763 z7_gdnd_21965 189.07831002 62.23676293 0.093$\pm$0.062 0.374$\pm$0.091 0.438$\pm$0.059 0.339$\pm$0.078 North
- z6_GND_17020 - 189.36265969 62.255818506000004 0.159$\pm$0.064 0.443$\pm$0.05 0.442$\pm$0.06 0.35$\pm$0.079 North
- z6_GND_39946 - 189.31955479 62.185249041000006 0.106$\pm$0.071 0.274$\pm$0.053 0.459$\pm$0.06 0.467$\pm$0.081 North
- z6_GND_18696 - 189.30290362 62.251211978 0.186$\pm$0.066 0.338$\pm$0.066 0.454$\pm$0.063 0.649$\pm$0.087 North
GNDZ-7078316214 z6_GND_11304 z7_gdnd_30559 189.28265733 62.272499241999995 0.135$\pm$0.063 0.351$\pm$0.065 0.529$\pm$0.055 0.563$\pm$0.068 North
- z6_GNW_15435 - 188.97960700000002 62.201395195 0.172$\pm$0.071 0.312$\pm$0.105 0.384$\pm$0.096 0.485$\pm$0.12 North
- z6_GNW_7317 z7_gdnw_3409 189.06923895 62.150184938 0.253$\pm$0.066 0.537$\pm$0.096 0.661$\pm$0.093 0.684$\pm$0.115 North
GNWZ-7179419175 z6_GNW_20456 z7_gdnw_34026 189.32475239 62.32144586800001 0.179$\pm$0.052 0.521$\pm$0.098 0.726$\pm$0.118 0.662$\pm$0.13 North
- z7_GND_8450 - 189.12774586 62.28892724 0.095$\pm$0.07 0.17$\pm$0.047 0.243$\pm$0.051 0.366$\pm$0.069 North
- z7_GND_39528 z7_gdnd_10485 189.30656584 62.187452623999995 0.203$\pm$0.067 0.393$\pm$0.05 0.357$\pm$0.056 0.441$\pm$0.069 North
GNDZ-6364715350 z7_GND_15642 z7_gdnd_27388 189.15199637 62.259631462 0.209$\pm$0.064 0.421$\pm$0.093 0.555$\pm$0.052 0.585$\pm$0.07 North
GNDZ-6489016066 z7_GND_12621 z7_gdnd_29560 189.20371716 62.268422724 0.054$\pm$0.062 0.394$\pm$0.097 0.382$\pm$0.054 0.392$\pm$0.071 North
GNDZ-6427518385 z7_GND_41647 - 189.17811681 62.310636068 0.064$\pm$0.068 0.433$\pm$0.188 0.403$\pm$0.05 0.43$\pm$0.068 North
GNDZ-6549212147 z7_GND_34860 z7_gdnd_14328 189.22886336 62.20401228 0.318$\pm$0.062 0.816$\pm$0.045 0.972$\pm$0.055 1.141$\pm$0.077 North
GNDZ-6542012155 z7_GND_34730 z7_gdnd_14372 189.22583272 62.204217186 0.244$\pm$0.058 0.58$\pm$0.05 1.054$\pm$0.065 1.078$\pm$0.086 North
- z7_GND_8389 z7_gdnd_33554 189.22514309 62.286287822 0.032$\pm$0.062 0.245$\pm$0.045 0.479$\pm$0.06 0.628$\pm$0.075 North
GNDZ-6372717115 z7_GND_8358 z7_gdnd_33589 189.15530076 62.286466434 0.116$\pm$0.064 0.542$\pm$0.043 0.679$\pm$0.054 0.604$\pm$0.066 North
GNDZ-6526614180 z7_GND_23288 - 189.21938717 62.238238927 0.187$\pm$0.06 0.283$\pm$0.075 0.537$\pm$0.058 0.452$\pm$0.075 North
- z7_GND_29556 - 189.09587695 62.220072853999994 0.171$\pm$0.061 0.316$\pm$0.135 0.878$\pm$0.08 1.062$\pm$0.094 North
- z7_GND_30554 - 189.39401125 62.217044456 0.028$\pm$0.063 0.24$\pm$0.056 0.21$\pm$0.056 0.348$\pm$0.073 North
GNDZ-7294714256 z7_GND_22525 z7_gdnd_22778 189.37282138 62.240370077 0.05$\pm$0.064 0.326$\pm$0.051 0.365$\pm$0.059 0.392$\pm$0.088 North
GNDZ-6371117347 z7_GND_43951 z7_gdnd_34930 189.15460595 62.292915699 0.052$\pm$0.065 0.408$\pm$0.046 0.522$\pm$0.048 0.488$\pm$0.063 North
GNDZ-6333916313 z7_GND_10568 z7_gdnd_31184 189.13915759 62.275308506 0.047$\pm$0.068 0.229$\pm$0.057 0.267$\pm$0.065 0.378$\pm$0.078 North
GNDZ-6452018113 z7_GND_42808 - 189.18839842 62.303036858999995 0.088$\pm$0.053 0.797$\pm$0.222 0.724$\pm$0.045 0.611$\pm$0.058 North
- z7_GND_2173 z7_gdnd_6627 189.27273849 62.167427943 0.046$\pm$0.053 0.247$\pm$0.042 0.39$\pm$0.053 0.358$\pm$0.07 North
GNDZ-7130712063 z7_GND_35507 z7_gdnd_13828 189.30446383 62.201689156 0.103$\pm$0.067 0.414$\pm$0.045 0.549$\pm$0.054 0.726$\pm$0.072 North
GNDZ-6288817417 z7_GND_43797 z7_gdnd_35407 189.12032357 62.294873564 -0.023$\pm$0.067 0.329$\pm$0.047 0.356$\pm$0.063 0.436$\pm$0.082 North
- z7_GND_37645 z7_gdnd_12002 189.18953826 62.19390095 0.075$\pm$0.068 0.182$\pm$0.044 0.302$\pm$0.053 0.441$\pm$0.075 North
- z7_GND_41319 - 189.22972509 62.302710965 0.004$\pm$0.063 0.146$\pm$0.046 0.204$\pm$0.051 0.367$\pm$0.07 North
GNDZ-6486116321 z7_GND_10527 z7_gdnd_31229 189.20258012 62.275512415 0.108$\pm$0.063 0.571$\pm$0.097 0.518$\pm$0.059 0.478$\pm$0.075 North
GNDZ-7088616402 z7_GND_9908 - 189.28700223 62.277775903999995 -0.083$\pm$0.061 0.228$\pm$0.062 0.212$\pm$0.059 0.317$\pm$0.069 North
GNDZ-6391816550 z7_GND_44859 z7_gdnd_32660 189.16326798 62.281859753999996 0.006$\pm$0.065 0.229$\pm$0.045 0.237$\pm$0.057 0.358$\pm$0.074 North
GNDZ-7035815571 z7_GND_13456 z7_gdnd_28891 189.26497376 62.265799136000005 0.112$\pm$0.054 0.513$\pm$0.061 0.802$\pm$0.059 0.657$\pm$0.076 North
GNDZ-7027917001 z7_GND_8888 z7_gdnd_32937 189.26166134 62.283264726999995 0.006$\pm$0.067 0.294$\pm$0.045 0.336$\pm$0.052 0.369$\pm$0.074 North
GNDZ-7214611055 z7_GND_40057 z7_gdnd_9868 189.33945492 62.18476358 0.052$\pm$0.069 0.44$\pm$0.043 0.437$\pm$0.057 0.706$\pm$0.072 North
- z7_GND_34204 z7_gdnd_14822 189.35967286 62.205980106999995 0.044$\pm$0.061 0.252$\pm$0.054 0.447$\pm$0.058 0.462$\pm$0.073 North
GNWZ-7259418092 z7_GNW_23360 z7_gdnw_31410 189.35805946 62.302481515 0.138$\pm$0.061 0.501$\pm$0.099 0.681$\pm$0.121 0.553$\pm$0.114 North
GNWZ-7256517434 z7_GNW_24443 z7_gdnw_30223 189.35686894 62.295325863 0.731$\pm$0.068 2.151$\pm$0.089 3.391$\pm$0.12 3.162$\pm$0.119 North
GNWZ-7222118310 z7_GNW_22375 z7_gdnw_32319 189.34260223 62.30852586100001 0.148$\pm$0.066 0.586$\pm$0.092 0.804$\pm$0.117 0.936$\pm$0.119 North
GNWZ-8024316291 z7_GNW_28182 - 189.51012291 62.274635517 0.086$\pm$0.061 0.466$\pm$0.096 0.469$\pm$0.104 0.578$\pm$0.13 North
- z7_GNW_10658 z7_gdnw_6137 189.02467639 62.170662183999994 0.128$\pm$0.07 0.504$\pm$0.081 0.615$\pm$0.101 0.685$\pm$0.124 North
- z7_GNW_20329 - 189.25494666 62.321879587 0.064$\pm$0.06 0.638$\pm$0.1 0.523$\pm$0.086 0.707$\pm$0.104 North
- z7_GNW_17001 z7_gdnw_14856 189.03249643 62.216415785 0.25$\pm$0.052 1.108$\pm$0.087 1.759$\pm$0.103 1.633$\pm$0.097 North
GNWZ-6086408599 z7_GNW_7284 z7_gdnw_3383 189.03606066 62.149915798 0.026$\pm$0.078 0.477$\pm$0.089 0.615$\pm$0.106 0.879$\pm$0.16 North
- z7_GNW_24671 - 189.36175282 62.29436146 0.175$\pm$0.064 0.481$\pm$0.087 0.786$\pm$0.114 0.496$\pm$0.118 North
GNWZ-5516510357 z7_GNW_11595 - 188.9652801 62.176494383999994 0.074$\pm$0.067 0.323$\pm$0.099 0.542$\pm$0.119 0.541$\pm$0.115 North
- z7_GNW_32653 z7_gdnw_36750 189.27875886 62.35747967 0.014$\pm$0.065 0.561$\pm$0.084 0.57$\pm$0.132 0.723$\pm$0.118 North
GNWZ-7455218088 z7_GNW_23317 - 189.43967298 62.302386098 0.03$\pm$0.061 0.364$\pm$0.103 0.654$\pm$0.123 0.803$\pm$0.118 North
- z6_GSD_18942 z7_gdsd_25697 53.198502788999996 -27.808114500000002 0.101$\pm$0.066 0.333$\pm$0.039 0.319$\pm$0.055 0.523$\pm$0.07 South
GSDZ-2455950175 z6_GSD_28705 z7_gdsd_18219 53.189990568 -27.83820939 0.15$\pm$0.079 0.386$\pm$0.042 0.576$\pm$0.067 0.364$\pm$0.074 South
GSDZ-2406745116 z6_GSD_2545 z7_gdsd_40414 53.16947891 -27.75321433 0.008$\pm$0.086 0.266$\pm$0.046 0.34$\pm$0.054 0.287$\pm$0.07 South
GSWZ-2367154420 z6_GSW_10661 z7_gdsw_2681 53.152986077 -27.91166438 0.222$\pm$0.064 0.568$\pm$0.09 0.478$\pm$0.081 0.672$\pm$0.109 South
- z6_GSW_6395 z7_gdsw_5634 53.239105428 -27.88940134 0.271$\pm$0.07 0.779$\pm$0.094 0.763$\pm$0.107 0.641$\pm$0.145 South
- z6_GSW_3993 z7_gdsw_7906 53.240086729 -27.87704394 0.301$\pm$0.076 0.719$\pm$0.099 0.556$\pm$0.108 0.69$\pm$0.159 South
- z6_MAIN_975 - 53.16596804899999 -27.77191435 0.055$\pm$0.016 0.106$\pm$0.009 0.083$\pm$0.013 0.075$\pm$0.012 XDF
XDFZ-2415947044 z6_MAIN_3338 z7_xdf_3588 53.173315517 -27.78457763 0.051$\pm$0.014 0.15$\pm$0.007 0.141$\pm$0.011 0.13$\pm$0.011 XDF
XDFZ-2367747536 z6_MAIN_5507 z7_xdf_1550 53.1532179 -27.79822027 0.127$\pm$0.016 0.252$\pm$0.007 0.234$\pm$0.011 0.221$\pm$0.01 XDF
- z6_MAIN_2568 z7_xdf_4135 53.156011505 -27.78090444 0.085$\pm$0.014 0.222$\pm$0.008 0.211$\pm$0.012 0.184$\pm$0.01 XDF
GSDZ-2361451030 z7_GSD_32054 z7_gdsd_14715 53.15058724399999 -27.85085664 0.001$\pm$0.064 0.284$\pm$0.044 0.247$\pm$0.052 0.271$\pm$0.067 South
GSDZ-2160647576 z7_GSD_16137 z7_gdsd_27952 53.066935711999996 -27.79936072 0.119$\pm$0.071 0.383$\pm$0.05 0.402$\pm$0.051 0.47$\pm$0.071 South
- z7_GSD_1559 - 53.199793616 -27.74732998 0.118$\pm$0.092 0.195$\pm$0.041 0.456$\pm$0.055 0.592$\pm$0.076 South
GSDZ-2125047568 z7_GSD_16078 z7_gdsd_28035 53.052123339 -27.79912126 0.137$\pm$0.06 0.297$\pm$0.049 0.403$\pm$0.05 0.338$\pm$0.065 South
