X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID_Bouwens RAh RAm RAs DEdeg DEm DEs F160W rset dset zphot Z-bin
189.51039571 62.288277404 2478.603 13239.938999999995 4.09e-32 4.0076999999999997e-32 2.077e-31 3.0378e-32 4.327e-31 5.227699999999997e-32 3.9229999999999996e-31 6.301299999999997e-32 3.835e-31 9.49e-32 4.734e-31 1.509e-31 0.0 0.0 5.967999999999999e-31 1.3119999999999996e-31 North 99.0 99.0 99.0 1.0 0.0 107.0 0.0 2.0 3.82 4.007 0.038796680497925284 -99.0 1 GNWB-8024817181 12 38 2.48 62 17 18.1 26.49 4 6 3.82 4.0
189.48496995 62.273785065 3184.572 12367.454 1.015e-31 3.9589e-32 3.821e-31 2.9279999999999996e-32 5.850999999999999e-31 5.069099999999999e-32 6.603e-31 6.2037e-32 6.17e-31 9.09e-32 6.879999999999999e-31 1.135e-31 0.0 0.0 9.572e-31 1.272e-31 North 0.01 0.1632 1.9456 8.0 0.0 0.0 0.0 1.0 4.06 3.33 0.14426877470355726 -99.0 1 GNWB-7563916259 12 37 56.39 62 16 25.9 26.05 4 6 4.06 4.0
189.47716354 62.27446805 3402.643 12407.583 8.039999999999999e-32 4.6177e-32 4.281e-31 3.3915999999999984e-32 4.424e-31 5.428999999999998e-32 6.4010000000000006e-31 7.4664e-32 6.194e-31 9.89e-32 6.545e-31 1.341e-31 0.0 0.0 1.0012999999999999e-30 1.3109999999999998e-31 North 11.28 0.1241 51.2516 4.0 0.0 107.0 97.0 2.0 3.72 3.302 0.08855932203389832 -99.0 1 GNWB-7545016283 12 37 54.5 62 16 28.3 25.56 4 6 3.72 4.0
189.45670937 62.277088363999994 3974.157 12562.699 2.576e-31 4.0443e-32 6.186999999999999e-31 3.2269e-32 6.940999999999999e-31 5.1057e-32 7.814e-31 6.478199999999997e-32 7.034e-31 9.47e-32 6.156e-31 1.2210000000000001e-31 0.0 0.0 8.223999999999995e-31 1.246e-31 North 0.3493 0.1297 -64.99600000000001 8.0 0.0 0.0 0.0 3.0 3.27 3.4610000000000003 0.04473067915690874 0.04204 1 GNWB-7496116378 12 37 49.61 62 16 37.8 26.15 4 6 3.27 4.0
189.48244595 62.277152977 3255.821 12569.25 1.589e-31 4.3981e-32 3.808e-31 3.6539e-32 5.829e-31 5.447299999999999e-32 6.163e-31 6.947899999999998e-32 5.8869999999999985e-31 1.007e-31 7.248e-31 1.262e-31 0.0 0.0 1.0326e-30 1.4509999999999998e-31 North 11.2957 0.086 -76.2792 12.0 0.0 0.0 97.0 3.0 3.27 2.9589999999999996 0.07283372365339577 -99.0 1 GNWB-7557916380 12 37 55.79 62 16 38.0 25.45 4 6 3.27 4.0
189.47057323 62.279059356000005 3587.635 12682.363 8.16e-32 3.9954999999999993e-32 4.0649999999999995e-31 3.0988000000000003e-32 7.076e-31 5.252099999999999e-32 7.462999999999997e-31 6.301299999999997e-32 7.343e-31 9.339999999999999e-32 9.155e-31 1.178e-31 0.0 0.0 1.3177999999999999e-30 1.204e-31 North 4.533 0.1328 48.458999999999996 0.0 0.0 0.0 97.0 1.0 3.4 3.386 0.003181818181818134 -99.0 1 GNWB-7529316449 12 37 52.93 62 16 44.9 25.09 4 6 3.4 4.0
189.46957012 62.280085435 3615.861 12743.823 1.1699999999999996e-31 4.0320999999999994e-32 4.878e-31 3.0804999999999994e-32 5.871e-31 5.3253e-32 6.113e-31 6.496499999999997e-32 5.694e-31 9.96e-32 7.707999999999998e-31 1.075e-31 0.0 0.0 8.237e-31 1.038e-31 North 2.8351 0.0753 21.2231 8.0 0.0 0.0 0.0 1.0 3.36 3.386 0.0059633027522936356 -99.0 1 GNWB-7526916486 12 37 52.69 62 16 48.6 25.82 4 6 3.36 4.0
189.47122574 62.281791666000004 3570.038 12846.369 1.9679999999999998e-31 4.2150999999999994e-32 5.328e-31 2.9706999999999997e-32 8.137999999999995e-31 5.1057e-32 9.762e-31 6.276899999999996e-32 9.468e-31 9.24e-32 8.749999999999999e-31 1.015e-31 0.0 0.0 1.3103999999999998e-30 1.098e-31 North 1.9163 0.3616 -76.578 0.0 0.0 0.0 97.0 3.0 3.49 3.255 0.05233853006681522 -99.0 1 GNWB-7530916547 12 37 53.09 62 16 54.7 25.27 4 6 3.49 4.0
189.47200137 62.283578436999996 3548.795 12953.656 1.9999999999999997e-31 4.074799999999998e-32 4.0119999999999975e-31 3.1598e-32 5.8909999999999985e-31 5.227699999999997e-32 6.3999999999999995e-31 6.581899999999999e-32 3.6329999999999997e-31 9.71e-32 6.104999999999999e-31 1.046e-31 0.0 0.0 8.098999999999995e-31 1.287e-31 North 4.2975 0.0397 -0.1216 8.0 0.0 0.0 97.0 7.0 3.45 2.948 0.112808988764045 -99.0 1 GNWB-7532817011 12 37 53.28 62 17 1.1 25.82 4 6 3.45 4.0
189.48319045 62.284788373999994 3236.842 13027.453 9.176999999999999e-31 3.8856999999999995e-32 3.4985e-30 2.9463e-32 4.8444e-30 5.026399999999997e-32 5.3061e-30 6.404999999999997e-32 4.9566e-30 9.89e-32 5.5698e-30 1.216e-31 0.0 0.0 6.2899e-30 1.1449999999999998e-31 North 1.1468 0.6818 -54.0899 0.0 0.0 0.0 0.0 1.0 3.63 3.4819999999999998 0.031965442764578765 0.05127 1 GNWB-7559617055 12 37 55.96 62 17 5.5 23.96 4 6 3.63 4.0
189.4796847 62.284920193999994 3334.699 13034.98 2.4239999999999996e-31 4.025999999999998e-32 7.531999999999995e-31 2.9463e-32 9.26e-31 5.0813e-32 7.809999999999998e-31 6.5514e-32 7.358e-31 9.48e-32 1.1015999999999999e-30 1.1289999999999996e-31 0.0 0.0 9.682e-31 1.2e-31 North 2.2895 0.0711 32.7111 8.0 0.0 0.0 0.0 3.0 3.4 3.345 0.012499999999999937 -99.0 1 GNWB-7551217059 12 37 55.12 62 17 5.9 26.14 4 6 3.4 4.0
189.4640244 62.286187587 3771.967 13109.381 8.34e-32 3.9649999999999997e-32 2.417e-31 3.0927e-32 3.8289999999999997e-31 5.227699999999997e-32 5.122999999999998e-31 6.6978e-32 6.389e-31 9.95e-32 4.153e-31 1.147e-31 0.0 0.0 7.699999999999998e-31 1.175e-31 North 1.3375 0.05 -76.7102 8.0 0.0 107.0 97.0 1.0 3.77 3.577 0.04046121593291406 0.07922 1 GNWB-7513517105 12 37 51.35 62 17 10.5 25.63 4 6 3.77 4.0
189.465497 62.28653984 3730.954 13130.666 6.339999999999999e-32 4.1357999999999987e-32 1.78e-31 3.2573999999999995e-32 3.792e-31 5.6547e-32 4.1979999999999985e-31 6.7893e-32 4.894e-31 1.067e-31 5.196e-31 1.3699999999999998e-31 0.0 0.0 5.178e-31 1.386e-31 North 0.0095 0.7543 58.913000000000004 8.0 0.0 107.0 0.0 2.0 4.32 3.536 0.14736842105263162 -99.0 1 GNWB-7517117118 12 37 51.71 62 17 11.8 27.2 4 6 4.32 4.0
189.51163713 62.28854882 2444.0370000000007 13256.375 2.14e-32 4.123599999999999e-32 1.6329999999999998e-31 3.0012e-32 2.898e-31 5.123999999999997e-32 3.375e-31 6.502599999999997e-32 3.9259999999999997e-31 9.39e-32 3.517e-31 1.2119999999999996e-31 0.0 0.0 5.5599999999999995e-31 1.206e-31 North 1.5612 0.026000000000000002 -87.7701 8.0 0.0 107.0 97.0 2.0 4.22 1.9909999999999999 0.4270114942528735 -99.0 -99 GNWB-8028117190 12 38 2.81 62 17 19.0 26.06 4 6 4.22 4.0
189.49186267 62.289213497 2995.927 13293.927 1.36e-31 3.904e-32 2.395e-31 2.9646e-32 3.7719999999999995e-31 5.258199999999999e-32 2.6119999999999998e-31 6.4355e-32 3.488e-31 9.06e-32 4.335e-31 1.191e-31 0.0 0.0 6.4079999999999985e-31 1.259e-31 North 0.9026 0.0352 -54.6421 8.0 0.0 0.0 0.0 7.0 3.36 2.904 0.10458715596330276 -99.0 1 GNWB-7580417214 12 37 58.04 62 17 21.4 26.69 4 6 3.36 4.0
189.52178569 62.291972818999994 2161.812 13463.074 1.7289999999999998e-31 4.0198999999999996e-32 4.833e-31 2.8609e-32 7.2930000000000015e-31 4.757999999999999e-32 7.921999999999999e-31 6.594099999999999e-32 7.157999999999998e-31 9.49e-32 8.663e-31 1.1939999999999999e-31 0.0 0.0 9.779e-31 1.24e-31 North 0.5264 0.0525 -83.9147 8.0 0.0 0.0 0.0 3.0 3.68 3.418 0.05598290598290599 -99.0 1 GNWB-8052317314 12 38 5.23 62 17 31.4 26.19 4 6 3.68 4.0
189.50163802 62.293973058999995 2724.395 13580.629 2.0299999999999996e-32 3.8856999999999995e-32 6.159e-31 2.9158e-32 8.45e-31 4.971499999999999e-32 8.081999999999998e-31 6.350099999999998e-32 6.906e-31 9.32e-32 7.6680000000000015e-31 1.134e-31 0.0 0.0 8.440999999999998e-31 1.249e-31 North 0.0099 0.3609 -27.6727 8.0 0.0 0.0 0.0 1.5 3.77 4.053 0.05932914046121592 0.002857 1 GNWB-8003917386 12 38 0.39 62 17 38.6 26.31 4 6 3.77 4.0
