id SFR_ha SFR_ha_err SFR_uv SFR_uv_err SFR_sed SFR_sed_l68 SFR_sed_u68 M_star_mean M_star_median M_star_68_l Mv EW_rest_corr EW_rest_err_corr metal_O32 metal_O32_err metal_R23 metal_R23_err comment
236_1_11 0.4538735581937838 0.06645114983543221 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 200.0452151138088 28.887077389984825 -99.0 -99.0 -99.0 -99.0 -
236_1_12 24.00863186022439 5.847531215452983 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 20.845406926199257 4.167702859778597 8.22 0.07 -99.0 -99.0 -
236_1_13 8.538811972716694 0.8942062611876057 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 89.97482124756334 9.000186850965797 8.53 0.15 -99.0 -98.0 -
236_1_14 4.1975688906942015 0.4617270471453471 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 254.13052629610615 27.52992069604909 8.11 0.04 8.75 -98.0 -
236_1_15 8.823427589827118 1.7642698699706132 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 21.378548215297453 3.515698772426818 -99.0 -99.0 -99.0 -99.0 -
236_1_16 5.448726295482062 1.6409439707477624 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 153.83742294544237 45.13483677340175 -99.0 -99.0 -99.0 -99.0 -
236_1_17 1.3311253967827998 0.32052160560877146 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 50.007507447595565 11.243715536374843 -99.0 -99.0 -99.0 -99.0 -
236_2_6 0.7104603043134741 0.2244949806980423 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 140.41314228649662 43.414889183638515 -99.0 -99.0 -99.0 -99.0 -
236_2_8 0.9699160981718546 0.1999300672748552 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 119.38171886502748 24.005964571013592 -99.0 -99.0 -99.0 -99.0 -
236_2_9 7.878583674899527 0.8259376743742384 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 44.43135683255326 4.260679205272709 8.69 0.14 8.98 -99.0 -
236_2_10 0.7445272840259926 0.18578429237233132 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 90.52659638060823 21.778986028304708 -99.0 -99.0 -99.0 -99.0 -
236_2_11 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -93.25762 -99.0 -99.0 -99.0 -99.0 -99.0 -
236_2_12 0.08963239292446422 0.0015643635028228613 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 72.60700131168831 23.890226655844156 -99.0 -99.0 -99.0 -99.0 -
236_2_13 12.0907303994181 2.8692465981544952 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 45.34853235120809 9.84318272182832 -99.0 -99.0 -99.0 -99.0 -
236_2_14 0.7162522654354909 0.2251181448280972 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 102.31327733333335 31.1195003 -99.0 -99.0 -99.0 -99.0 -
236_2_15 1.169210379266559 0.2784390857162622 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 155.09248736314714 36.22729170532567 -99.0 -99.0 -99.0 -99.0 -
236_2_16 38.65875562090083 16.794927920593267 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 119.76411961859824 50.24814847341001 -99.0 -99.0 -99.0 -99.0 Hb-artificat
236_2_17 9.089889810581603 1.5623256402861845 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 34.77245207943926 5.271129716705609 -99.0 -99.0 -99.0 -99.0 -
236_2_19 16.31086594583141 2.239657001729125 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 31.886838342304944 3.846744727284518 8.31 0.1 8.95 -99.0 -
