X_Deg Y_Deg X_Pix Y_Pix B-band_Flux B-Flux_error V-band_Flux V-Flux_error I-band_Flux I-Flux_error Z-band_Flux Z-Flux_error Y-band_Flux Y-Flux_error J-band_Flux J-Flux_error JH-band_Flux JH-Flux_error H-band_Flux H-Flux_error Image_used R_s Axis_Ratio Position_Angle_Degrees Galfit_Error_Code Astrometric_Flag A_CIER Mag_Flag Colour_Flag input_z redshift_beagle_1 outlier_value P1/P2 drop_out_agree ID(Fink) IAU IAU2 RA Dec ZPhot b_ZPhot B_ZPhot 1500Mag b_1500Mag B_1500Mag
189.22140895 62.225484394 10542.146 9455.255 2.998e-31 3.6234e-32 1.0752999999999999e-30 3.0072999999999987e-32 1.8322e-30 5.221599999999997e-32 2.0249999999999998e-30 6.270799999999999e-32 2.0379e-30 7.869999999999999e-32 2.3033e-30 5.7e-32 2.9739999999999974e-30 2.053e-31 3.0063999999999998e-30 8.63e-32 North 0.8139 0.6709999999999999 27.6292 0.0 0.0 0.0 0.0 3.0 3.51 3.466 0.00975609756097552 -99.0 1 z4_GND_27826 HRG14 J123653.14+621331.7 189.221405 62.225483 3.51 0.5 3.74 -20.11 -20.41 -20.11
189.29565519 62.181872806 8463.543 6839.519 2.8789999999999997e-31 3.8429999999999995e-32 1.0093e-30 3.0865999999999994e-32 1.34e-30 4.9837e-32 1.3369e-30 6.520899999999997e-32 1.2416999999999999e-30 4.5999999999999996e-32 1.5422e-30 5.2e-32 1.7102e-30 1.9639999999999999e-31 2.0088e-30 6.5e-32 North 2.1662 0.3609 17.1173 0.0 0.0 0.0 0.0 1.0 3.52 3.083 0.09668141592920353 -99.0 1 z4_GND_40732 HRG14 J123710.96+621054.8 189.295654 62.181889 3.52 3.38 3.63 -20.45 -20.56 -20.27
189.39585685 62.22345611300001 5664.343000000003 9339.585 1.201e-31 4.2699999999999993e-32 4.040999999999999e-31 3.1170999999999995e-32 5.738e-31 4.819e-32 6.092999999999999e-31 6.4416e-32 5.436e-31 5.41e-32 6.057999999999999e-31 5.18e-32 3.692e-31 2.896e-31 8.195999999999997e-31 6.87e-32 North 0.4939 0.33799999999999997 78.62899999999998 8.0 0.0 0.0 0.0 1.0 3.52 3.009 0.11305309734513275 -99.0 1 z4_GND_28492 HRG14 J123735.01+621324.4 189.395874 62.223454 3.52 0.41 3.81 -18.69 -19.02 -18.46
189.17191156 62.294434491000004 11922.448999999999 13592.943000000001 1.013e-31 3.7515e-32 2.73e-31 2.9828999999999995e-32 2.9559999999999996e-31 4.965399999999999e-32 3.782e-31 6.404999999999997e-32 -3.8499999999999996e-31 1.928e-31 2.789e-31 5.24e-32 3.481e-31 7.77e-32 3.5899999999999998e-31 6.349999999999999e-32 North 2.178 0.3898 -87.7987 0.0 99.0 107.0 0.0 1.0 3.52 2.778 0.16415929203539825 -99.0 1 z4_GND_43836 HRG14 J123641.26+621740.1 189.171906 62.294468 3.52 0.61 3.84 -18.93 -19.19 -18.61
189.31566116 62.234343013 7907.608 9988.396 2.158e-31 2.9340999999999996e-32 4.5299999999999995e-31 2.7876999999999997e-32 5.505e-31 4.3493e-32 4.309e-31 5.3741e-32 6.38e-31 5.099999999999999e-32 7.790999999999998e-31 5.849999999999998e-32 7.181999999999995e-31 2.198e-31 8.249e-31 7.389999999999998e-32 North 5.6601 0.3384 -84.5501 0.0 0.0 0.0 0.0 7.0 3.52 3.241 0.061725663716814136 0.2569 1 z4_GND_24645 HRG14 J123715.77+621403.7 189.315689 62.234348 3.52 3.36 3.61 -20.53 -20.64 -20.46
189.27684035 62.238662487 8992.896 10246.431 -2.9999999999999998e-33 3.8673999999999987e-32 1.428e-31 3.0194999999999996e-32 2.8309999999999996e-31 5.0813e-32 4.0159999999999975e-31 6.600199999999999e-32 2.089e-31 6.969999999999998e-32 5.407e-31 5.6e-32 8.631e-31 1.9619999999999999e-31 8.412e-31 7.089999999999997e-32 North 1.5475 0.2318 -29.8975 0.0 0.0 0.0 0.0 2.0 3.52 2.6 0.2035398230088496 -99.0 1 z4_GND_23112 HRG14 J123706.44+621419.2 189.27684 62.23866700000001 3.52 2.27 3.97 -18.3 -18.71 -17.81
189.28360569 62.19736211399999 8801.718 7768.56 8.8e-32 3.904e-32 3.895e-31 2.9463e-32 4.9909999999999995e-31 5.398499999999997e-32 5.9389999999999995e-31 6.746599999999997e-32 6.887999999999999e-31 4.65e-32 9.827e-31 5.99e-32 1.406e-30 2.0489999999999996e-31 1.6869e-30 8.699999999999999e-32 North 1.4455 0.6995 60.4867 0.0 0.0 0.0 0.0 3.0 3.53 3.599 0.01523178807947019 -99.0 1 z4_GND_36692 HRG14 J123708.07+621150.5 189.283615 62.197357 3.53 0.57 3.94 -19.33 -19.74 -18.99
189.18913936 62.322713027 11440.833 15289.3 1.3539999999999996e-31 3.135399999999998e-32 5.225e-31 4.086999999999999e-32 7.301999999999998e-31 6.7893e-32 8.9e-31 8.7718e-32 7.568e-31 1.304e-31 8.517e-31 4.73e-32 0.0 0.0 1.6862e-30 6.78e-32 North 0.9938 0.0877 75.2132 8.0 0.0 0.0 0.0 1.0 3.53 2.93 0.13245033112582774 -99.0 1 z4_GND_5526 HRG14 J123645.39+621921.7 189.189117 62.322708 3.53 3.37 3.7 -19.56 -19.71 -19.4
189.27745207 62.191434165 8973.663 7412.745 2.7099999999999997e-32 4.2516999999999984e-32 2.128e-31 3.1170999999999995e-32 2.912e-31 5.3314e-32 3.37e-31 6.9052e-32 2.3719999999999996e-31 7.21e-32 2.609e-31 5.32e-32 -2e-33 2.0859999999999997e-31 3.625e-31 7.28e-32 North 0.0113 0.0795 -31.1531 8.0 0.0 107.0 0.0 2.0 3.53 3.209 0.07086092715231793 -99.0 1 z4_GND_38402 HRG14 J123706.60+621129.1 189.277512 62.191425 3.53 0.45 3.76 -18.53 -18.61 -18.17
189.13535582 62.228346086 12947.908000000001 9628.823 1.2630000000000001e-31 3.4647999999999997e-32 2.567e-31 3.355e-32 4.489999999999999e-31 5.1972e-32 4.184e-31 6.953999999999998e-32 3.614e-31 9.57e-32 4.552e-31 5.709999999999999e-32 5.96e-31 1.5149999999999999e-31 6.298e-31 7.599999999999998e-32 North 5.5581 0.1273 -58.07899999999999 0.0 0.0 0.0 0.0 3.0 3.53 3.012 0.11434878587196465 -99.0 1 z4_GND_27612 HRG14 J123632.49+621342.0 189.135376 62.228333 3.53 3.03 3.72 -19.4 -19.54 -19.22
